"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"tbaix";"mag";"serv";"tc";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"117";"TRF1_MT_2015";2015;"TRF1";"TRF 1ª Região";"MT";112642130,54;136119;105520;30599;20;307;0,775204049397953;99,671009771987;1529,95;3681,23567894376;0,456007578075262;67101,9550358213
"118";"TRF1_MG_2015";2015;"TRF1";"TRF 1ª Região";"MG";611842056,93;954720;754388;200332;129;1493;0,790166750460868;134,180843938379;1552,96124031008;3054,1404115668;0,528007573753736;379411,224304588
"119";"TRF1_AC_2015";2015;"TRF1";"TRF 1ª Região";"AC";44449331,83;35125;23987;11138;10;99;0,682903914590747;112,505050505051;1113,8;3990,78217184414;0,620734524183707;17943,2584560154
"120";"TRF1_AM_2015";2015;"TRF1";"TRF 1ª Região";"AM";73291868,86;87446;65318;22128;15;189;0,746952404912746;117,079365079365;1475,2;3312,17773228489;0,519210189754735;42618,5780568999
"121";"TRF1_AP_2015";2015;"TRF1";"TRF 1ª Região";"AP";54927550,8;37584;25925;11659;7;131;0,689788207747978;89;1665,57142857143;4711,17169568574;0,607258109198074;19199,4142579611
"122";"TRF1_PA_2015";2015;"TRF1";"TRF 1ª Região";"PA";155379901,69;264170;168762;95408;27;380;0,638838626641935;251,073684210526;3533,62962962963;1628,58357464783;0,960739181685652;99306,8689387719
"123";"TRF1_RO_2015";2015;"TRF1";"TRF 1ª Região";"RO";79331583,1;84550;60271;24279;19;184;0,71284447072738;131,951086956522;1277,84210526316;3267,49796531982;0,588124578947578;41282,0699373696
"124";"TRF1_RR_2015";2015;"TRF1";"TRF 1ª Região";"RR";29359707,73;22800;13896;8904;5;75;0,609473684210526;118,72;1780,8;3297,36160489668;0,764478585410255;11647,1542433353
"125";"TRF1_TO_2015";2015;"TRF1";"TRF 1ª Região";"TO";56287153,09;69403;45291;24112;12;121;0,652579859660245;199,272727272727;2009,33333333333;2334,40415933975;0,813283803255682;29647,7071146339
"126";"TRF1_BA_2015";2015;"TRF1";"TRF 1ª Região";"BA";338790643,15;451386;327777;123609;61;759;0,726156770480254;162,857707509881;2026,37704918033;2740,8250463154;0,656836286781079;188188,445869463
"127";"TRF1_MA_2015";2015;"TRF1";"TRF 1ª Região";"MA";138799756,05;255155;167184;87971;24;318;0,655225255237013;276,638364779874;3665,45833333333;1577,78990860625;1;87971
"128";"TRF1_PI_2015";2015;"TRF1";"TRF 1ª Região";"PI";105597673,48;178093;116079;62014;25;238;0,651788672210587;260,563025210084;2480,56;1702,80377785661;0,968042865405932;64061,2127996992
"129";"TRF1_2º Grau_2015";2015;"TRF1";"TRF 1ª Região";"2º Grau";468107950,59;583388;443828;139560;26;619;0,760776704354563;225,46042003231;5367,69230769231;3354,16989531384;1;139560
